id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
bitcoin,1,BTC,Bitcoin,19820890.0000000000000000,21000000.0000000000000000,1935229257360.2458786181322110,11980832938.9330432859941213,97635.8406388535468699,-0.9095621843888122,97245.6353978530668768,https://blockchain.info/
ethereum,2,ETH,Ethereum,120530911.5054202200000000,,331799895778.7456542940074228,9321757072.4034964636043714,2752.8199333647681295,-1.6583752573621912,2722.6912259347859156,https://etherscan.io/
tether,3,USDT,Tether,141355200814.9630400000000000,,141519912385.4568746051630799,29524538969.4195821685792536,1.0011652317675205,0.0388072262881069,1.0003951332699601,https://www.omniexplorer.info/asset/31
xrp,4,XRP,XRP,57762545657.0000000000000000,100000000000.0000000000000000,138828220951.6291291005935411,2269369025.1874035389418896,2.4034297549142923,-1.2140174587515427,2.3467982871688381,https://xrpcharts.ripple.com/#/graph/
solana,5,SOL,Solana,487722791.5399863000000000,,96438131039.0892028983709644,1422121175.5278544403101691,197.7314423518849521,-0.7024237658099512,192.8425516427080835,https://explorer.solana.com/
binance-coin,6,BNB,BNB,144006830.0000000000000000,144006830.0000000000000000,84093514646.5232327672779000,317717600.6272720110351891,583.9550432887331300,1.2883722127252582,580.1704766516920624,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
usd-coin,7,USDC,USDC,55908497353.4993440000000000,,55916211113.5144721915982073,3642842222.5861372472381320,1.0001379711560902,0.0048727390719809,1.0001458063299510,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
dogecoin,8,DOGE,Dogecoin,147945306383.7052600000000000,,37576923814.0100543980546735,827305672.7764429242807158,0.2539919969921316,-2.6775909114247151,0.2511780429024324,http://dogechain.info/chain/Dogecoin
steth,9,STETH,Lido Staked ETH,9443700.7851938000000000,,25845472973.9307464326261026,404971.1782960676211641,2736.7949876654584799,-2.0953713787915311,2771.1718616150578314,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
cardano,10,ADA,Cardano,35193500774.4423100000000000,45000000000.0000000000000000,25704389236.2481122748365343,397562515.1724909337776023,0.7303731845544267,-2.8683313855035906,0.7197883672894306,https://cardanoexplorer.com/
